# Time	KE	PE	Total
2.620000	4.805000e-02	1.800000e-03	4.985000e-02
2.630000	4.805000e-02	1.800000e-03	4.985000e-02
2.640000	4.805000e-02	1.800000e-03	4.985000e-02
2.650000	4.805000e-02	1.250000e-03	4.930000e-02
2.660000	4.805000e-02	1.250000e-03	4.930000e-02
2.670000	4.805000e-02	1.250000e-03	4.930000e-02
2.680000	4.805000e-02	8.000000e-04	4.885000e-02
2.690000	4.805000e-02	8.000000e-04	4.885000e-02
2.700000	4.805000e-02	8.000000e-04	4.885000e-02
2.710000	4.805000e-02	4.500000e-04	4.850000e-02
2.720000	4.805000e-02	4.500000e-04	4.850000e-02
2.730000	4.805000e-02	4.500000e-04	4.850000e-02
2.740000	4.805000e-02	4.500000e-04	4.850000e-02
2.750000	4.805000e-02	2.000000e-04	4.825000e-02
2.760000	5.120000e-02	2.000000e-04	5.140000e-02
2.770000	5.120000e-02	2.000000e-04	5.140000e-02
2.780000	5.120000e-02	5.000000e-05	5.125000e-02
2.790000	5.120000e-02	5.000000e-05	5.125000e-02
2.800000	5.120000e-02	5.000000e-05	5.125000e-02
2.810000	5.120000e-02	0.000000e+00	5.120000e-02
2.820000	5.120000e-02	0.000000e+00	5.120000e-02
2.830000	5.120000e-02	0.000000e+00	5.120000e-02
2.840000	5.120000e-02	5.000000e-05	5.125000e-02
2.850000	5.120000e-02	5.000000e-05	5.125000e-02
2.860000	5.120000e-02	5.000000e-05	5.125000e-02
2.870000	5.120000e-02	2.000000e-04	5.140000e-02
2.880000	5.120000e-02	2.000000e-04	5.140000e-02
2.890000	5.120000e-02	2.000000e-04	5.140000e-02
2.900000	4.805000e-02	4.500000e-04	4.850000e-02
2.910000	4.805000e-02	4.500000e-04	4.850000e-02
2.920000	4.805000e-02	4.500000e-04	4.850000e-02
2.930000	4.805000e-02	4.500000e-04	4.850000e-02
2.940000	4.805000e-02	8.000000e-04	4.885000e-02
2.950000	4.805000e-02	8.000000e-04	4.885000e-02
2.960000	4.805000e-02	8.000000e-04	4.885000e-02
2.970000	4.805000e-02	1.250000e-03	4.930000e-02
2.980000	4.805000e-02	1.250000e-03	4.930000e-02
2.990000	4.805000e-02	1.250000e-03	4.930000e-02
3.000000	4.805000e-02	1.800000e-03	4.985000e-02
3.010000	4.805000e-02	1.800000e-03	4.985000e-02
3.020000	4.805000e-02	1.800000e-03	4.985000e-02
3.030000	4.805000e-02	2.450000e-03	5.050000e-02
3.040000	4.805000e-02	2.450000e-03	5.050000e-02
3.050000	4.805000e-02	2.450000e-03	5.050000e-02
3.060000	4.805000e-02	3.200000e-03	5.125000e-02
3.070000	4.805000e-02	3.200000e-03	5.125000e-02
3.080000	4.805000e-02	3.200000e-03	5.125000e-02
3.090000	4.500000e-02	3.200000e-03	4.820000e-02
3.100000	4.500000e-02	4.050000e-03	4.905000e-02
3.110000	4.500000e-02	4.050000e-03	4.905000e-02
3.120000	4.500000e-02	4.050000e-03	4.905000e-02
3.130000	4.500000e-02	5.000000e-03	5.000000e-02
3.140000	4.500000e-02	5.000000e-03	5.000000e-02
3.150000	4.500000e-02	5.000000e-03	5.000000e-02
3.160000	4.500000e-02	6.050000e-03	5.105000e-02
3.170000	4.500000e-02	6.050000e-03	5.105000e-02
3.180000	4.500000e-02	6.050000e-03	5.105000e-02
3.190000	4.205000e-02	6.050000e-03	4.810000e-02
3.200000	4.205000e-02	7.200000e-03	4.925000e-02
3.210000	4.205000e-02	7.200000e-03	4.925000e-02
3.220000	4.205000e-02	7.200000e-03	4.925000e-02
3.230000	4.205000e-02	8.450000e-03	5.050000e-02
3.240000	4.205000e-02	8.450000e-03	5.050000e-02
3.250000	4.205000e-02	8.450000e-03	5.050000e-02
3.260000	4.205000e-02	8.450000e-03	5.050000e-02
3.270000	3.920000e-02	9.800000e-03	4.900000e-02
3.280000	3.920000e-02	9.800000e-03	4.900000e-02
3.290000	3.920000e-02	9.800000e-03	4.900000e-02
3.300000	3.920000e-02	1.125000e-02	5.045000e-02
3.310000	3.920000e-02	1.125000e-02	5.045000e-02
3.320000	3.920000e-02	1.125000e-02	5.045000e-02
3.330000	3.920000e-02	1.125000e-02	5.045000e-02
3.340000	3.645000e-02	1.280000e-02	4.925000e-02
3.350000	3.645000e-02	1.280000e-02	4.925000e-02
3.360000	3.645000e-02	1.280000e-02	4.925000e-02
3.370000	3.645000e-02	1.445000e-02	5.090000e-02
3.380000	3.645000e-02	1.445000e-02	5.090000e-02
3.390000	3.645000e-02	1.445000e-02	5.090000e-02
3.400000	3.380000e-02	1.445000e-02	4.825000e-02
3.410000	3.380000e-02	1.620000e-02	5.000000e-02
3.420000	3.380000e-02	1.620000e-02	5.000000e-02
3.430000	3.380000e-02	1.620000e-02	5.000000e-02
3.440000	3.380000e-02	1.620000e-02	5.000000e-02
3.450000	3.380000e-02	1.805000e-02	5.185000e-02
3.460000	3.125000e-02	1.805000e-02	4.930000e-02
3.470000	3.125000e-02	1.805000e-02	4.930000e-02
3.480000	3.125000e-02	1.805000e-02	4.930000e-02
3.490000	3.125000e-02	2.000000e-02	5.125000e-02
3.500000	3.125000e-02	2.000000e-02	5.125000e-02
3.510000	2.880000e-02	2.000000e-02	4.880000e-02
3.520000	2.880000e-02	2.000000e-02	4.880000e-02
3.530000	2.880000e-02	2.205000e-02	5.085000e-02
3.540000	2.880000e-02	2.205000e-02	5.085000e-02
3.550000	2.880000e-02	2.205000e-02	5.085000e-02
3.560000	2.645000e-02	2.205000e-02	4.850000e-02
3.570000	2.645000e-02	2.420000e-02	5.065000e-02
3.580000	2.645000e-02	2.420000e-02	5.065000e-02
3.590000	2.645000e-02	2.420000e-02	5.065000e-02
3.600000	2.645000e-02	2.420000e-02	5.065000e-02
3.610000	2.420000e-02	2.420000e-02	4.840000e-02
3.620000	2.420000e-02	2.645000e-02	5.065000e-02
3.630000	2.420000e-02	2.645000e-02	5.065000e-02
3.640000	2.420000e-02	2.645000e-02	5.065000e-02
3.650000	2.205000e-02	2.645000e-02	4.850000e-02
3.660000	2.205000e-02	2.880000e-02	5.085000e-02
3.670000	2.205000e-02	2.880000e-02	5.085000e-02
3.680000	2.205000e-02	2.880000e-02	5.085000e-02
3.690000	2.000000e-02	2.880000e-02	4.880000e-02
3.700000	2.000000e-02	2.880000e-02	4.880000e-02
3.710000	2.000000e-02	3.125000e-02	5.125000e-02
3.720000	2.000000e-02	3.125000e-02	5.125000e-02
3.730000	1.805000e-02	3.125000e-02	4.930000e-02
3.740000	1.805000e-02	3.125000e-02	4.930000e-02
3.750000	1.805000e-02	3.125000e-02	4.930000e-02
3.760000	1.805000e-02	3.380000e-02	5.185000e-02
3.770000	1.620000e-02	3.380000e-02	5.000000e-02
3.780000	1.620000e-02	3.380000e-02	5.000000e-02
3.790000	1.620000e-02	3.380000e-02	5.000000e-02
3.800000	1.620000e-02	3.380000e-02	5.000000e-02
3.810000	1.445000e-02	3.380000e-02	4.825000e-02
3.820000	1.445000e-02	3.645000e-02	5.090000e-02
3.830000	1.445000e-02	3.645000e-02	5.090000e-02
3.840000	1.445000e-02	3.645000e-02	5.090000e-02
3.850000	1.280000e-02	3.645000e-02	4.925000e-02
3.860000	1.280000e-02	3.645000e-02	4.925000e-02
3.870000	1.280000e-02	3.645000e-02	4.925000e-02
3.880000	1.280000e-02	3.920000e-02	5.200000e-02
3.890000	1.125000e-02	3.920000e-02	5.045000e-02
3.900000	1.125000e-02	3.920000e-02	5.045000e-02
3.910000	1.125000e-02	3.920000e-02	5.045000e-02
3.920000	9.800000e-03	3.920000e-02	4.900000e-02
3.930000	9.800000e-03	3.920000e-02	4.900000e-02
3.940000	9.800000e-03	3.920000e-02	4.900000e-02
3.950000	9.800000e-03	4.205000e-02	5.185000e-02
3.960000	8.450000e-03	4.205000e-02	5.050000e-02
3.970000	8.450000e-03	4.205000e-02	5.050000e-02
3.980000	8.450000e-03	4.205000e-02	5.050000e-02
3.990000	7.200000e-03	4.205000e-02	4.925000e-02
4.000000	7.200000e-03	4.205000e-02	4.925000e-02
4.010000	7.200000e-03	4.205000e-02	4.925000e-02
4.020000	7.200000e-03	4.205000e-02	4.925000e-02
4.030000	6.050000e-03	4.500000e-02	5.105000e-02
4.040000	6.050000e-03	4.500000e-02	5.105000e-02
4.050000	6.050000e-03	4.500000e-02	5.105000e-02
4.060000	5.000000e-03	4.500000e-02	5.000000e-02
4.070000	5.000000e-03	4.500000e-02	5.000000e-02
4.080000	5.000000e-03	4.500000e-02	5.000000e-02
4.090000	4.050000e-03	4.500000e-02	4.905000e-02
4.100000	4.050000e-03	4.500000e-02	4.905000e-02
4.110000	4.050000e-03	4.500000e-02	4.905000e-02
4.120000	4.050000e-03	4.500000e-02	4.905000e-02
4.130000	3.200000e-03	4.805000e-02	5.125000e-02
4.140000	3.200000e-03	4.805000e-02	5.125000e-02
4.150000	3.200000e-03	4.805000e-02	5.125000e-02
4.160000	2.450000e-03	4.805000e-02	5.050000e-02
4.170000	2.450000e-03	4.805000e-02	5.050000e-02
4.180000	2.450000e-03	4.805000e-02	5.050000e-02
4.190000	1.800000e-03	4.805000e-02	4.985000e-02
4.200000	1.800000e-03	4.805000e-02	4.985000e-02
4.210000	1.800000e-03	4.805000e-02	4.985000e-02
4.220000	1.800000e-03	4.805000e-02	4.985000e-02
4.230000	1.250000e-03	4.805000e-02	4.930000e-02
4.240000	1.250000e-03	4.805000e-02	4.930000e-02
4.250000	1.250000e-03	4.805000e-02	4.930000e-02
4.260000	8.000000e-04	4.805000e-02	4.885000e-02
4.270000	8.000000e-04	4.805000e-02	4.885000e-02
4.280000	8.000000e-04	4.805000e-02	4.885000e-02
4.290000	4.500000e-04	4.805000e-02	4.850000e-02
4.300000	4.500000e-04	4.805000e-02	4.850000e-02
4.310000	4.500000e-04	4.805000e-02	4.850000e-02
4.320000	2.000000e-04	4.805000e-02	4.825000e-02
4.330000	2.000000e-04	5.120000e-02	5.140000e-02
4.340000	2.000000e-04	5.120000e-02	5.140000e-02
4.350000	5.000000e-05	5.120000e-02	5.125000e-02
4.360000	5.000000e-05	5.120000e-02	5.125000e-02
4.370000	5.000000e-05	5.120000e-02	5.125000e-02
4.380000	0.000000e+00	5.120000e-02	5.120000e-02
4.390000	0.000000e+00	5.120000e-02	5.120000e-02
4.400000	0.000000e+00	5.120000e-02	5.120000e-02
4.410000	0.000000e+00	5.120000e-02	5.120000e-02
4.420000	5.000000e-05	5.120000e-02	5.125000e-02
4.430000	5.000000e-05	5.120000e-02	5.125000e-02
4.440000	5.000000e-05	5.120000e-02	5.125000e-02
4.450000	2.000000e-04	5.120000e-02	5.140000e-02
4.460000	2.000000e-04	4.805000e-02	4.825000e-02
4.470000	2.000000e-04	4.805000e-02	4.825000e-02
4.480000	4.500000e-04	4.805000e-02	4.850000e-02
4.490000	4.500000e-04	4.805000e-02	4.850000e-02
4.500000	4.500000e-04	4.805000e-02	4.850000e-02
4.510000	8.000000e-04	4.805000e-02	4.885000e-02
4.520000	8.000000e-04	4.805000e-02	4.885000e-02
4.530000	8.000000e-04	4.805000e-02	4.885000e-02
4.540000	1.250000e-03	4.805000e-02	4.930000e-02
4.550000	1.250000e-03	4.805000e-02	4.930000e-02
4.560000	1.250000e-03	4.805000e-02	4.930000e-02
4.570000	1.250000e-03	4.805000e-02	4.930000e-02
4.580000	1.800000e-03	4.805000e-02	4.985000e-02
4.590000	1.800000e-03	4.805000e-02	4.985000e-02
4.600000	1.800000e-03	4.805000e-02	4.985000e-02
4.610000	2.450000e-03	4.805000e-02	5.050000e-02
4.620000	2.450000e-03	4.805000e-02	5.050000e-02
4.630000	2.450000e-03	4.805000e-02	5.050000e-02
4.640000	3.200000e-03	4.805000e-02	5.125000e-02
4.650000	3.200000e-03	4.805000e-02	5.125000e-02
4.660000	3.200000e-03	4.500000e-02	4.820000e-02
4.670000	4.050000e-03	4.500000e-02	4.905000e-02
4.680000	4.050000e-03	4.500000e-02	4.905000e-02
4.690000	4.050000e-03	4.500000e-02	4.905000e-02
4.700000	4.050000e-03	4.500000e-02	4.905000e-02
4.710000	5.000000e-03	4.500000e-02	5.000000e-02
4.720000	5.000000e-03	4.500000e-02	5.000000e-02
4.730000	5.000000e-03	4.500000e-02	5.000000e-02
4.740000	6.050000e-03	4.500000e-02	5.105000e-02
4.750000	6.050000e-03	4.500000e-02	5.105000e-02
4.760000	6.050000e-03	4.205000e-02	4.810000e-02
4.770000	7.200000e-03	4.205000e-02	4.925000e-02
4.780000	7.200000e-03	4.205000e-02	4.925000e-02
4.790000	7.200000e-03	4.205000e-02	4.925000e-02
