time energy a1x a1y a1z a2x a2y a2z a3x a3y a3z
91.15 0.010496082700161346 -0.15010236520403109 -0.28158356074680646 -3.3650178392840516e-05 0.23883603093633415 0.8010027001116485 0.00019157302731597067 1.0047007710300329 0.47493229950019694 0.0003982436667752964
91.16 0.010486995793358904 -0.1500691133836789 -0.281481114457791 -3.36049549321568e-05 0.23838415946019528 0.8010725980290715 0.0001914706508875162 1.0051179446979972 0.4747587247115627 0.0003984260379095387
91.17 0.010477604639398036 -0.15003216928357493 -0.28137516986676475 -3.3558266715465624e-05 0.23793048641678352 0.8011416336350788 0.00019136763317127497 1.005533227464871 0.4745825137909504 0.0003986075618306133
91.18 0.010467909631067819 -0.14999153210636673 -0.28126572879717815 -3.351011353652572e-05 0.23747502171514917 0.8012098047145155 0.00019126397690427633 1.0059466086242246 0.47440367077686013 0.000398788235469673
91.19 0.010457911190996679 -0.14994720114036827 -0.2811527931747577 -3.3460495224969886e-05 0.23701777529591844 0.8012771091082554 0.00019115968484004686 1.0063580775237195 0.47422219975403923 0.0003989680557781668
91.2 0.010447609771626334 -0.14989917575953843 -0.2810363650274298 -3.34094116464091e-05 0.2365587571309431 0.801343544713196 0.000191054759748593 1.0067676235654375 0.47403810485341163 0.0003991470197282042
91.21000000000001 0.01043700585518208 -0.1498474554234561 -0.2809164464852407 -3.335686270225903e-05 0.23609797722294856 0.8014091094822506 0.0001909492044162276 1.0071752362062079 0.4738513902520057 0.0003993251243126247
91.22 0.010426099953639825 -0.1497920396772934 -0.2807930397802738 -3.330284832996555e-05 0.23563544560518082 0.8014738014243392 0.0001908430216454658 1.007580904957933 0.47366206017288015 0.00039950236654482437
91.23 0.010414892608689255 -0.14973292815178466 -0.2806661472465626 -3.324736850270982e-05 0.23517117234105206 0.8015376186043768 0.0001907362142549384 1.0079846193879125 0.47347011888504936 0.0003996787434593454
91.24 0.010403384391693873 -0.14967012056319337 -0.28053577132000096 -3.3190423229772625e-05 0.2347051675237849 0.8016005591432599 0.0001906287850792182 1.0083863691191655 0.4732755707034065 0.0003998542521114947
91.25 0.010391575903647211 -0.14960361671327546 -0.28040191453824986 -3.3132012556083296e-05 0.23423744127605536 0.8016626212178516 0.0001905207369687855 1.008786143830751 0.4730784199886456 0.00040002888957776017
91.26 0.010379467775125828 -0.1495334164892403 -0.28026457954064027 -3.3072136562636075e-05 0.2337680037496347 0.8017238030609637 0.00019041207278983714 1.0091839332580872 0.4728786711471819 0.0004002026529557239
91.27 0.010367060666238645 -0.14945951986370817 -0.28012376906807335 -3.301079536629928e-05 0.23329686512502978 0.8017841029613378 0.00019030279542423456 1.0095797271932676 0.4726763286310713 0.000400375539364201
91.28 0.010354355266572843 -0.14938192689466484 -0.2799794859629164 -3.294798911972858e-05 0.23282403561112247 0.8018435192636242 0.00019019290776936494 1.009973515485378 0.47247139693792756 0.0004005475459434825
91.29 0.010341352295136327 -0.14930063772541335 -0.27983173316889587 -3.288371801128025e-05 0.23234952544480764 0.8019020503683583 0.0001900824127380545 1.010365288040809 0.47226388061083874 0.0004007186698552832
91.3 0.010328052500296742 -0.14921565258452293 -0.27968051373098735 -3.281798226527138e-05 0.23187334489062994 0.8019596947319357 0.00018997131325841242 1.0107550348235685 0.47205378423828176 0.0004008889082829153
